idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist,iteration
13_2_0,MWG,dynamic,2.0,4.52747,4.1921797,4.38757,0.1399,0.13069999,0.19146,0.04364,0.63853997,0.19614999,4.292248,4.781069,1.0,0.97599995,1.7984785,13_2
13_2_0,MWG,stoch,2.0,5.3515,5.16241,5.14821,0.20329,0.1317,0.24222,0.04705,0.37381998,0.07823,5.11618,5.6116576,1.0,0.868,1.7984785,13_2
13_2_0,MWG_rep,dynamic,2.0,3.82585,3.6744099,4.38757,-0.56172,0.16438,0.58528,0.13339,0.82973,0.20992999,3.4921446,4.1234946,0.0,0.982,2.0502546,13_2
13_2_0,MWG_rep,stoch,2.0,4.59556,4.42338,5.14821,-0.55265,0.14833,0.57221997,0.11115,0.63462996,0.11819,4.2804976,4.8505087,0.0,0.532,2.0502546,13_2
13_2_1,true_net,dynamic,2.5,4.39042,3.89007,4.38757,0.0028499998,0.0135699995,0.01387,0.0031599998,0.0061899996,0.00162,4.363347,4.416523,1.0,1.0,0.2693102,13_2
13_2_1,true_net,stoch,2.5,5.15134,4.93425,5.14821,0.0031299999,0.01585,0.01616,0.00314,0.00314,0.00057,5.119738,5.1819596,1.0,1.0,0.2693102,13_2
13_2_1,obs_net,dynamic,2.5,1.88571,1.1345099,4.38757,-2.50186,0.32220998,2.5225198,0.57493,2.50335,0.59477997,1.2378865,2.5173795,0.0,0.022,5.894234,13_2
13_2_1,obs_net,stoch,2.5,2.19045,2.17612,5.14821,-2.9577599,0.35737,2.97927,0.5787,2.9577599,0.56185997,1.4722097,2.8879452,0.0,0.0,5.894234,13_2
13_2_1,MWG,dynamic,2.5,3.9661,3.61422,4.38757,-0.42147,0.119449995,0.43807,0.09984,0.72674996,0.19037,3.7399287,4.1950803,0.0,0.94,1.870166,13_2
13_2_1,MWG,stoch,2.5,4.6826797,4.47887,5.14821,-0.46552998,0.09899,0.47594,0.09245,0.52415,0.09895,4.4975853,4.8816023,0.0,0.754,1.870166,13_2
13_2_1,MWG_rep,dynamic,2.5,4.19311,3.9468799,4.38757,-0.19444999,0.11869,0.22782,0.05192,0.67118996,0.18472,3.9614077,4.4260654,1.0,0.982,1.9634222,13_2
13_2_1,MWG_rep,stoch,2.5,4.98602,4.7873797,5.14821,-0.16218999,0.11219,0.19721,0.03831,0.39395,0.07629,4.7619514,5.2014985,1.0,0.812,1.9634222,13_2
13_2_2,true_net,dynamic,3.0,4.39028,3.89003,4.38757,0.00271,0.01368,0.01395,0.00318,0.00615,0.0016099999,4.36391,4.4169226,1.0,1.0,0.27267876,13_2
13_2_2,true_net,stoch,3.0,5.15118,4.9341397,5.14821,0.00297,0.01598,0.01626,0.0031599998,0.0029799999,0.00054,5.120423,5.1823626,1.0,1.0,0.27267876,13_2
13_2_2,obs_net,dynamic,3.0,1.8491299,1.1781299,4.38757,-2.53844,0.41318,2.5718498,0.58616996,2.53924,0.60319,1.0333856,2.641278,0.0,0.03,5.9991274,13_2
13_2_2,obs_net,stoch,3.0,2.16179,2.15555,5.14821,-2.98642,0.46357998,3.0221899,0.58704,2.98642,0.56738997,1.2483336,3.0493336,0.0,0.0,5.9991274,13_2
13_2_2,MWG,dynamic,3.0,3.86533,3.49011,4.38757,-0.52222997,0.12325,0.53657997,0.1223,0.78291,0.19914,3.6300144,4.111179,0.0,0.936,1.9271859,13_2
13_2_2,MWG,stoch,3.0,4.56499,4.37003,5.14821,-0.58322,0.14511,0.601,0.116739996,0.61035997,0.11485,4.3132,4.8425617,0.0,0.658,1.9271859,13_2
13_2_2,MWG_rep,dynamic,3.0,3.7330298,3.52245,4.38757,-0.65454,0.13432999,0.66818,0.15229,0.85801,0.21641,3.4851904,4.0039024,0.0,0.958,2.2899702,13_2
13_2_2,MWG_rep,stoch,3.0,4.43524,4.24298,5.14821,-0.71296996,0.13984999,0.72656,0.14113,0.7341,0.13803999,4.192893,4.736097,0.0,0.47599998,2.2899702,13_2
13_2_3,true_net,dynamic,3.5,4.39032,3.8901598,4.38757,0.00275,0.01353,0.013809999,0.00315,0.00612,0.0016,4.363808,4.4169436,1.0,1.0,0.27045628,13_2
