,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,TRUE,model,type,abs_bias,ci_length
47,121.0,2.562,2.561,2.5070002,0.055000003,0.147,0.157,0.81200004,0.125,0.49400002,0.05,0.19600001,0.004,0.07300001,2.275,2.855,1.0,0.574,GP_1S,stoch,,GP,1S,0.055000003,0.5800000000000001
48,176.0,0.59400004,0.59400004,0.596,-0.002,0.015000001,0.015000001,0.032,0.012,0.016,0.020000001,0.026,0.001,0.001,0.565,0.623,1.0,1.0,Linear_oracle,dynamic,,Linear,Oracle,0.002,0.05800000000000005
49,176.0,0.592,0.592,0.596,-0.004,0.015000001,0.016,0.125,0.012,0.062000003,0.021000002,0.125,0.001,0.035,0.563,0.62200004,1.0,0.89800006,GP_oracle,dynamic,,GP,Oracle,0.004,0.05900004000000003
50,176.0,2.6710002,2.6720002,2.6810002,-0.010000001,0.067,0.068,0.074,0.054,0.055000003,0.020000001,0.020000001,0.001,0.001,2.5400002,2.802,1.0,1.0,Linear_oracle,stoch,,Linear,Oracle,0.010000001,0.2619997999999999
51,176.0,2.6460001,2.6460001,2.6810002,-0.035,0.069000006,0.078,0.32700002,0.062000003,0.177,0.023000002,0.062000003,0.001,0.008,2.5110002,2.7800002,1.0,0.92200005,GP_oracle,stoch,,GP,Oracle,0.035,0.26900000000000013
52,176.0,0.39600003,0.39600003,0.596,-0.2,0.028,0.202,0.34300002,0.2,0.245,0.335,1504.5541,0.11400001,20107238.0,0.34100002,0.45100003,0.0,0.21400002,Linear_observed,dynamic,,Linear,Obs.,0.2,0.11000000999999998
53,176.0,0.30900002,0.30900002,0.596,-0.287,0.060000002,0.294,0.48600003,0.28800002,0.36200002,0.48200002,2371.258,0.24300002,71331896.0,0.19100001,0.42700002,0.0,0.42800003,GP_observed,dynamic,,GP,Obs.,0.287,0.23600000999999998
54,176.0,1.6710001,1.6700001,2.6810002,-1.01,0.11400001,1.0170001,1.246,1.011,1.033,0.377,0.351,0.14400001,0.148,1.4440001,1.894,0.0,0.116000004,Linear_observed,stoch,,Linear,Obs.,1.01,0.4499998999999999
55,176.0,1.7220001,1.72,2.6810002,-0.95900005,0.13100001,0.96900004,1.399,0.96000004,1.092,0.358,0.38300002,0.13100001,0.19900002,1.4670001,1.9820001,0.0,0.264,GP_observed,stoch,,GP,Obs.,0.95900005,0.5150000000000001
56,176.0,0.48700002,0.48600003,0.596,-0.109000005,0.029000001,0.113000005,0.289,0.109000005,0.21400002,0.18300001,2201.268,0.036000002,56025252.0,0.432,0.546,0.0,0.81600004,Linear_3S,dynamic,,Linear,3S,0.109000005,0.11400000000000005
